epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1007,1.66895,5.67959,2.02046,0.01802,0.07774,0.02518,0.01588,2.41711,6.00667,2.49371,1.68944e-05,1.68944e-05,1.68944e-05
2,132.427,1.70974,4.44116,2.02662,0.26203,0.07961,0.06023,0.03909,2.2973,4.31943,2.35343,3.35589e-05,3.35589e-05,3.35589e-05
3,197.455,1.62013,3.66486,1.95218,0.13815,0.15013,0.0852,0.05557,2.05391,4.0273,2.23908,4.98867e-05,4.98867e-05,4.98867e-05
4,263.494,1.49599,3.29611,1.8744,0.13225,0.16457,0.09752,0.06907,1.88942,3.49533,2.13366,4.94853e-05,4.94853e-05,4.94853e-05
5,328.743,1.40008,3.07316,1.81113,0.26531,0.15156,0.10672,0.07607,1.82288,3.34384,2.09487,4.89804e-05,4.89804e-05,4.89804e-05
6,390.382,1.3624,2.92616,1.77489,0.2877,0.17154,0.12095,0.08606,1.74695,3.21412,2.03821,4.84755e-05,4.84755e-05,4.84755e-05
7,451.053,1.32731,2.81449,1.74671,0.31289,0.15967,0.12578,0.09079,1.70184,3.12219,2.00447,4.79706e-05,4.79706e-05,4.79706e-05
8,510.633,1.29469,2.71586,1.72114,0.30696,0.17538,0.13453,0.09544,1.6947,3.02084,1.9925,4.74657e-05,4.74657e-05,4.74657e-05
9,570.492,1.27171,2.66344,1.70099,0.28581,0.17688,0.13278,0.09485,1.64304,2.95734,1.98864,4.69608e-05,4.69608e-05,4.69608e-05
10,630.199,1.26816,2.59665,1.69742,0.36022,0.18736,0.14528,0.10209,1.6095,2.90476,1.9628,4.64559e-05,4.64559e-05,4.64559e-05
11,689.282,1.22505,2.54248,1.66233,0.35899,0.18756,0.14273,0.10269,1.59563,2.83772,1.96723,4.5951e-05,4.5951e-05,4.5951e-05
12,748.801,1.22479,2.47646,1.65999,0.36618,0.18528,0.15135,0.10892,1.5208,2.73652,1.90245,4.54461e-05,4.54461e-05,4.54461e-05
13,808.734,1.19354,2.41274,1.63592,0.40649,0.19297,0.13745,0.09951,1.52218,2.71655,1.90653,4.49412e-05,4.49412e-05,4.49412e-05
14,868.515,1.20967,2.40138,1.64015,0.37631,0.19201,0.15021,0.1094,1.54447,2.6493,1.90223,4.44363e-05,4.44363e-05,4.44363e-05
15,928.205,1.17799,2.36668,1.61456,0.412,0.19528,0.15098,0.10719,1.50698,2.62274,1.89747,4.39314e-05,4.39314e-05,4.39314e-05
16,987.764,1.17995,2.3166,1.6087,0.44604,0.18359,0.14717,0.10587,1.5112,2.66006,1.89869,4.34265e-05,4.34265e-05,4.34265e-05
17,1047.76,1.16117,2.27924,1.59911,0.45797,0.191,0.1561,0.11226,1.50095,2.53476,1.8926,4.29216e-05,4.29216e-05,4.29216e-05
18,1108.06,1.15517,2.23687,1.59306,0.40177,0.1851,0.15027,0.10872,1.47884,2.58021,1.86551,4.24167e-05,4.24167e-05,4.24167e-05
19,1168.35,1.14742,2.20804,1.58955,0.4639,0.19298,0.16611,0.11829,1.43994,2.48583,1.84647,4.19118e-05,4.19118e-05,4.19118e-05
20,1228.78,1.1443,2.1926,1.5788,0.47024,0.19377,0.16943,0.12329,1.44008,2.40676,1.84335,4.14069e-05,4.14069e-05,4.14069e-05
