epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,101.907,1.52262,3.84598,1.90216,0.3421,0.13424,0.0835,0.06027,1.97025,3.94254,2.29118,0.00996885,0.00332295,0.00996885,0.00332295,0.00996885,0.00332295,0.00996885,0.00332295
2,197.698,1.41282,2.87076,1.76967,0.51232,0.12218,0.0925,0.05585,1.89467,3.12366,2.21643,0.019903,0.00663432,0.019903,0.00663432,0.019903,0.00663432,0.019903,0.00663432
3,293.299,1.46656,2.81063,1.79445,0.38177,0.06898,0.03979,0.01982,1.90638,3.28849,2.24805,0.0297711,0.00992368,0.0297711,0.00992368,0.0297711,0.00992368,0.0297711,0.00992368
4,387.795,1.47714,2.85691,1.8059,0.452,0.08285,0.02086,0.01089,1.89129,3.31067,2.19962,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,482.248,1.41252,2.71381,1.75452,0.36763,0.11368,0.06595,0.04412,1.79396,3.27219,2.11214,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,576.331,1.37145,2.63893,1.72684,0.38202,0.14688,0.07902,0.05324,1.54463,2.67406,1.98549,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,670.562,1.30726,2.49463,1.67684,0.52123,0.07032,0.05637,0.03778,1.56301,3.08491,1.97229,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,764.597,1.28151,2.41099,1.66035,0.57373,0.1481,0.11194,0.07774,1.54482,2.44185,1.94429,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,860.265,1.23569,2.3417,1.6402,0.35186,0.17484,0.12183,0.09244,1.43513,2.35729,1.90486,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,956.395,1.24087,2.32267,1.64647,0.40513,0.17941,0.12387,0.09156,1.49262,2.28982,1.91995,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1050.61,1.18744,2.24691,1.61179,0.53666,0.1377,0.12623,0.09457,1.42712,2.32686,1.85817,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1146.15,1.17248,2.22272,1.60544,0.61365,0.17355,0.11573,0.08428,1.40559,2.30802,1.90748,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1240.07,1.16466,2.18326,1.60023,0.58675,0.17863,0.1232,0.09496,1.29776,2.35712,1.84154,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1335.94,1.13327,2.13479,1.57636,0.48947,0.18201,0.12759,0.09649,1.38082,2.28172,1.84173,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1432.4,1.11796,2.11789,1.57206,0.4181,0.1862,0.12443,0.09107,1.41241,2.4169,1.92366,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1527.05,1.11813,2.07729,1.56769,0.52703,0.19054,0.14685,0.11609,1.33034,2.20265,1.84456,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1623.62,1.10274,2.05255,1.56041,0.61438,0.19029,0.13079,0.10105,1.26084,2.21186,1.79481,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1718.42,1.08372,2.02343,1.54614,0.61342,0.18525,0.14081,0.10387,1.29711,2.19493,1.78748,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1812.81,1.08757,2.00201,1.55602,0.47827,0.20082,0.15233,0.11722,1.25401,2.09936,1.76813,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1909.21,1.08018,1.99911,1.54321,0.65062,0.20826,0.15454,0.11575,1.30124,2.12641,1.82263,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,2003.51,1.07795,1.96781,1.53934,0.54891,0.20392,0.16547,0.1303,1.22938,1.99672,1.77986,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
